t01_smooth_or_features_a01_smooth_count,t01_smooth_or_features_a01_smooth_weight,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a01_smooth_weighted_fraction,t01_smooth_or_features_a01_smooth_debiased,t01_smooth_or_features_a02_features_or_disk_count,t01_smooth_or_features_a02_features_or_disk_weight,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a02_features_or_disk_weighted_fraction,t01_smooth_or_features_a02_features_or_disk_debiased,target
39,39,0.951,0.951,0.9459263,0,0,0,0,0,0
41,41,0.911,0.911,0.8910868,3,3,0.067,0.067,0.10033367,0
39,39,0.886,0.925,0.8192026,3,2.103,0.068,0.05,0.09635718,0
43,42.783,0.827,0.858,0.858,4,4,0.077,0.08,0.08,0
41,40.783,0.932,0.95,0.8523902,1,1,0.023,0.023,0.16368034,0
43,43,0.977,0.977,0.9829132,0,0,0,0,0,0
41,41,0.891,0.93,0.9167368,0,0,0,0,0,0
39,39,0.907,0.928,0.9562143,0,0,0,0,0,0
39,38.972,0.886,0.898,0.8043222,3,2.435,0.068,0.056,0.08159596,0
38,38,0.974,0.974,0.98297405,0,0,0,0,0,0
44,44,0.957,0.957,0.81504077,1,1,0.022,0.022,0.3286417,0
41,41,0.837,0.837,0.81701124,1,1,0.02,0.02,0.13141564,0
40,40,0.952,0.966,0.8178488,1,1,0.024,0.024,0.07762746,0
39,39,0.886,0.906,0.807438,4,4,0.091,0.093,0.36587888,0
44,44,0.936,0.956,0.9374864,0,0,0,0,0,0
44,44,0.917,0.917,0.81252927,1,1,0.021,0.021,0.060795303,0
42,42,0.955,0.955,0.84052235,1,1,0.023,0.023,0.085377105,0
34,34,0.773,0.787,0.8076599,4,4,0.091,0.093,0.09290709,0
41,41,0.837,0.858,0.86988527,4,4,0.082,0.084,0.087554306,0
39,39,0.929,0.934,0.8878356,1,1,0.024,0.024,0.028240245,0
40,40,0.87,0.87,0.8018187,3,3,0.065,0.065,0.17052154,0
44,44,0.957,0.959,0.96626854,0,0,0,0,0,0
45,45,0.938,0.955,0.8404042,1,1,0.021,0.021,0.14642653,0
43,43,0.935,0.955,0.8894383,2,2,0.043,0.044,0.06526762,0
41,41,0.976,0.976,0.84483963,1,1,0.024,0.024,0.100484006,0
45,44.591,0.938,0.937,0.83380896,1,1,0.021,0.021,0.10035573,0
41,41,0.932,0.932,0.9404988,0,0,0,0,0,0
40,39.591,0.952,0.952,0.91000116,1,1,0.024,0.024,0.026252747,0
36,36,0.8,0.818,0.818,6,6,0.133,0.136,0.136,0
45,45,0.865,0.869,0.81653434,3,3,0.058,0.058,0.20300098,0
38,38,0.826,0.827,0.827,5,5,0.109,0.109,0.109,0
41,41,0.953,0.953,0.95663166,0,0,0,0,0,0
48,48,0.941,0.941,0.8550202,2,2,0.039,0.039,0.0760974,0
32,32,0.97,0.97,0.8706022,1,1,0.03,0.03,0.18832745,0
37,36.003,0.881,0.926,0.8552811,1,1,0.024,0.026,0.088925935,0
44,44,0.917,0.934,0.8246321,1,1,0.021,0.021,0.054744966,0
42,42,0.955,0.955,0.850026,2,2,0.045,0.045,0.1451862,0
31,31,0.775,0.818,0.82701427,0,0,0,0,0,0
41,41,0.953,0.976,0.9630728,0,0,0,0,0,0
42,41.014,0.933,0.932,0.9620179,0,0,0,0,0,0
42,41.707,0.955,0.975,0.80300915,1,1,0.023,0.023,0.2723696,0
45,44.783,0.978,0.978,0.81026024,1,1,0.022,0.022,0.1400475,0
35,35,0.745,0.745,0.8263598,8,8,0.17,0.17,0.19678524,0
43,42.854,0.935,0.954,0.82129735,1,1,0.022,0.022,0.14301759,0
42,41.082,0.913,0.93,0.90986586,2,2,0.043,0.045,0.051432617,0
41,40.068,0.911,0.909,0.8963451,1,1,0.022,0.023,0.02572858,0
42,42,0.933,0.939,0.928004,0,0,0,0,0,0
43,41.405,0.977,0.992,0.98977613,0,0,0,0,0,0
37,37,0.881,0.881,0.881,3,3,0.071,0.071,0.071,0
39,38.449,0.907,0.927,0.87495774,1,1,0.023,0.024,0.082055375,0
41,41,0.872,0.925,0.925,1,1,0.021,0.023,0.023,0
43,42.128,0.935,0.954,0.8167025,2,2,0.043,0.045,0.14512473,0
40,39.5,0.889,0.888,0.8004099,2,2,0.044,0.045,0.18563145,0
41,41,0.932,0.953,0.9475981,1,1,0.023,0.023,0.03418151,0
41,40.591,0.953,0.953,0.8745293,1,1,0.023,0.023,0.057239387,0
42,42,0.955,0.955,0.8304975,1,1,0.023,0.023,0.10836447,0
39,39,0.907,0.907,0.8946157,0,0,0,0,0,0
41,41,0.932,0.932,0.93436694,0,0,0,0,0,0
43,43,0.935,0.953,0.8091326,1,1,0.022,0.022,0.22180472,0
43,43,0.915,0.915,0.81836057,2,2,0.043,0.043,0.14644523,0
44,44,0.957,0.957,0.85614586,1,1,0.022,0.022,0.062983215,0
39,38.707,0.812,0.828,0.82090056,4,4,0.083,0.086,0.10529712,0
38,38,0.927,0.972,0.8522996,1,1,0.024,0.026,0.28950605,0
39,39,0.886,0.886,0.86808103,2,2,0.045,0.045,0.042813584,0
35,35,0.795,0.817,0.817,3,3,0.068,0.07,0.07,0
48,48,0.98,0.98,0.80468357,1,1,0.02,0.02,0.15263551,0
42,41.195,0.894,0.903,0.903,3,2.421,0.064,0.053,0.053,0
39,39,0.848,0.884,0.87666905,2,2,0.043,0.045,0.0646958,0
44,44,0.83,0.832,0.832,5,5,0.094,0.095,0.095,0
36,36,0.837,0.841,0.8276667,3,3,0.07,0.07,0.098408185,0
43,43,0.86,0.895,0.89286065,1,1,0.02,0.021,0.05778734,0
35,35,0.814,0.814,0.8960553,6,6,0.14,0.14,0.14681028,0
48,47.652,0.889,0.905,0.905,4,4,0.074,0.076,0.076,0
37,37,0.974,0.974,0.9352624,1,1,0.026,0.026,0.107283,0
40,40,0.93,0.952,0.8125451,1,1,0.023,0.024,0.1422843,0
39,39,0.929,0.929,0.94292337,0,0,0,0,0,0
45,45,0.938,0.97,0.847948,2,1.316,0.042,0.028,0.18256709,0
43,43,0.896,0.896,0.924896,1,1,0.021,0.021,0.016614478,0
45,45,0.9,0.929,0.8247329,1,1,0.02,0.021,0.15248697,0
42,42,0.894,0.894,0.87757933,3,3,0.064,0.064,0.092201695,0
40,39.6,0.851,0.886,0.886,4,4,0.085,0.09,0.09,0
37,37,0.804,0.822,0.822,5,5,0.109,0.111,0.111,0
49,49,0.942,0.958,0.9668352,0,0,0,0,0,0
41,40.273,0.953,0.953,0.9586039,0,0,0,0,0,0
44,44,0.978,0.978,0.9864675,0,0,0,0,0,0
41,41,0.932,0.932,0.93995005,0,0,0,0,0,0
43,43,0.935,0.935,0.85352635,2,2,0.043,0.043,0.14947124,0
41,41,0.932,0.95,0.9719174,0,0,0,0,0,0
37,36.185,0.949,0.948,0.8132511,1,1,0.026,0.026,0.103913635,0
43,42.591,0.956,0.955,0.91220015,0,0,0,0,0,0
42,41.383,0.933,0.932,0.8030966,3,3,0.067,0.068,0.18977436,0
37,37,0.925,0.969,0.89095825,1,1,0.025,0.026,0.22423153,0
41,40.072,0.932,0.93,0.84915555,1,1,0.023,0.023,0.19808038,0
55,55,0.982,0.982,0.8626957,1,1,0.018,0.018,0.20643535,0
38,38,0.884,0.933,0.9434916,0,0,0,0,0,0
39,39,0.907,0.907,0.87308097,1,1,0.023,0.023,0.044905487,0
41,41,0.932,0.971,0.96596104,0,0,0,0,0,0
45,45,0.9,0.934,0.9575039,3,2.176,0.06,0.045,0.032453828,0
43,43,0.915,0.915,0.8448018,1,1,0.021,0.021,0.081381716,0
37,37,0.822,0.822,0.822,5,5,0.111,0.111,0.111,0
42,42,0.933,0.933,0.8412694,1,1,0.022,0.022,0.24747206,0
41,40.343,0.872,0.892,0.892,3,3,0.064,0.066,0.066,0
39,39,0.867,0.886,0.8648121,2,2,0.044,0.045,0.21053438,0
37,36.515,0.902,0.924,0.89317703,1,1,0.024,0.025,0.049833838,0
45,44.06,0.978,0.978,0.85873795,1,1,0.022,0.022,0.10449836,0
33,33,0.75,0.752,0.85511994,7,7,0.159,0.16,0.12794633,0
43,42.223,0.935,0.934,0.8160089,2,2,0.043,0.044,0.05515576,0
39,39,0.812,0.847,0.8196569,5,5,0.104,0.109,0.15346418,0
39,39,0.907,0.945,0.8637712,1,0.264,0.023,0.006,0.07101971,0
43,43,0.896,0.914,0.9497452,1,1,0.021,0.021,0.01611055,0
40,40,0.87,0.928,0.82382005,2,1.068,0.043,0.025,0.27141687,0
39,39,0.867,0.867,0.867,3,3,0.067,0.067,0.067,0
43,43,0.956,0.956,0.80828863,1,1,0.022,0.022,0.46023977,0
42,42,0.933,0.964,0.9654624,0,0,0,0,0,0
42,42,0.977,0.977,0.8427504,1,1,0.023,0.023,0.19010891,0
43,43,0.915,0.915,0.84517694,1,1,0.021,0.021,0.05326377,0
40,38.247,0.93,0.944,0.9017952,1,1,0.023,0.025,0.099601105,0
38,38,0.905,0.949,0.9190769,1,1,0.024,0.025,0.03941477,0
40,40,0.909,0.909,0.93960416,2,2,0.045,0.045,0.054026634,0
40,39.761,0.909,0.909,0.909,3,3,0.068,0.069,0.069,0
39,39,0.848,0.866,0.866,1,1,0.022,0.022,0.022,0
46,45.038,0.92,0.949,0.8812704,2,1.105,0.04,0.023,0.0788455,0
41,41,0.932,0.932,0.808697,1,1,0.023,0.023,0.10811329,0
39,38.315,0.907,0.905,0.89686,0,0,0,0,0,0
46,44.988,0.939,0.955,0.955,1,1,0.02,0.021,0.021,0
39,38.591,0.951,0.951,0.8749261,1,1,0.024,0.025,0.08506906,0
39,39,0.867,0.867,0.867,4,4,0.089,0.089,0.089,0
40,39.343,0.909,0.927,0.84349847,1,1,0.023,0.024,0.06060704,0
44,43.6,0.957,0.975,0.91597944,1,1,0.022,0.022,0.03957795,0
36,35.311,0.818,0.815,0.815,2,2,0.045,0.046,0.046,0
42,42,0.913,0.927,0.9083762,0,0,0,0,0,0
46,46,0.92,0.932,0.8559899,2,2,0.04,0.041,0.060701933,0
41,41,0.911,0.911,0.8024964,1,1,0.022,0.022,0.04078293,0
40,40,0.976,0.976,0.97108006,0,0,0,0,0,0
40,40,0.909,0.909,0.94316846,0,0,0,0,0,0
40,40,0.909,0.909,0.909,1,1,0.023,0.023,0.023,0
34,33.707,0.791,0.808,0.808,6,6,0.14,0.144,0.144,0
41,41,0.891,0.891,0.8595344,1,1,0.022,0.022,0.03514038,0
44,44,0.863,0.863,0.863,4,4,0.078,0.078,0.078,0
38,38,0.884,0.903,0.8494844,2,2,0.047,0.048,0.13381241,0
38,38,0.974,0.974,0.9670575,0,0,0,0,0,0
35,35,0.854,0.854,0.8212553,0,0,0,0,0,0
42,42,0.977,0.977,0.97343373,0,0,0,0,0,0
42,42,0.894,0.894,0.8347389,4,4,0.085,0.085,0.10907151,0
43,43,0.956,0.976,0.80493385,1,1,0.022,0.023,0.24155621,0
40,39.268,0.87,0.867,0.8426729,1,1,0.022,0.022,0.092485905,0
38,38,0.927,0.961,0.80801463,1,1,0.024,0.025,0.2675921,0
37,37,0.902,0.917,0.9279426,0,0,0,0,0,0
46,46,0.958,0.958,0.9696936,0,0,0,0,0,0
34,34,0.773,0.812,0.812,6,5.573,0.136,0.133,0.133,0
42,42,0.913,0.913,0.8171102,2,2,0.043,0.043,0.22686659,0
39,39,0.951,0.951,0.8036255,2,2,0.049,0.049,0.15652348,0
39,39,0.886,0.886,0.90557927,0,0,0,0,0,0
34,33.728,0.944,0.993,0.99016327,0,0,0,0,0,0
39,39,0.867,0.906,0.813914,3,2.031,0.067,0.047,0.09024109,0
35,35,0.833,0.853,0.853,0,0,0,0,0,0
43,43,0.956,0.975,0.8107829,1,1,0.022,0.023,0.18691482,0
41,41,0.976,0.993,0.9915654,0,0,0,0,0,0
46,46,0.939,0.991,0.99294436,0,0,0,0,0,0
39,38.099,0.929,0.936,0.93745625,0,0,0,0,0,0
37,37,0.881,0.894,0.80512804,3,3,0.071,0.072,0.2532346,0
44,43.073,0.936,0.955,0.9803522,0,0,0,0,0,0
44,44,1,1,1,0,0,0,0,0,0
39,39,0.796,0.825,0.825,5,5,0.102,0.106,0.106,0
38,38,0.844,0.882,0.81396806,3,3,0.067,0.07,0.08309474,0
41,41,0.911,0.911,0.86029613,3,3,0.067,0.067,0.1143208,0
39,39,0.951,0.951,0.9327669,0,0,0,0,0,0
45,45,0.957,0.978,0.83848155,1,1,0.021,0.022,0.14241397,0
43,42.343,0.896,0.913,0.913,3,3,0.062,0.065,0.065,0
41,41,0.891,0.947,0.82931125000000006,1,1,0.022,0.023,0.40305644,0
40,40,0.93,0.93,0.80959684,1,1,0.023,0.023,0.070039615,0
40,40,0.93,0.93,0.8418618,2,2,0.047,0.047,0.0696162,0
37,37,0.841,0.858,0.8172766,1,1,0.023,0.023,0.08092731,0
49,48.328,0.925,0.941,0.92343426,1,1,0.019,0.019,0.041585986,0
43,43,0.915,0.915,0.84811383,3,3,0.064,0.064,0.13534564,0
42,42,0.955,0.955,0.95090157,0,0,0,0,0,0
38,38,0.95,0.95,0.86359525,1,1,0.025,0.025,0.23690246,0
34,34,0.895,0.895,0.8800523,0,0,0,0,0,0
38,38,0.864,0.905,0.905,3,3,0.068,0.071,0.071,0
42,42,0.955,0.955,0.955,1,1,0.023,0.023,0.023,0
40,40,0.93,0.93,0.8627168,1,1,0.023,0.023,0.037909385,0
41,41,0.976,0.976,0.820427,1,1,0.024,0.024,0.23989576,0
41,41,0.911,0.931,0.90388846,1,1,0.022,0.023,0.027556228,0
42,42,0.933,0.933,0.81930363,1,1,0.022,0.022,0.05725874,0
41,41,0.911,0.929,0.90457594,1,1,0.022,0.023,0.04740193,0
43,42.435,0.915,0.914,0.914,3,3,0.064,0.065,0.065,0
41,40.054,0.911,0.909,0.91751873,2,2,0.044,0.045,0.044109605,0
41,40.573,0.976,0.976,0.863698,1,1,0.024,0.024,0.2733453,0
40,39.986,0.889,0.903,0.9476525,0,0,0,0,0,0
42,42,0.933,0.954,0.9034264,2,2,0.044,0.045,0.10013456,0
42,42,0.913,0.93,0.89747083,1,1,0.022,0.022,0.051991023,0
39,39,0.929,0.929,0.87817556,2,2,0.048,0.048,0.05748404,0
41,41,0.976,0.998,0.9987339,0,0,0,0,0,0
38,37.383,0.864,0.862,0.83281577,2,2,0.045,0.046,0.048329107,0
39,39,0.907,0.927,0.92509985,1,1,0.023,0.024,0.027418084,0
38,38,0.927,0.948,0.9360624,0,0,0,0,0,0
47,47,0.922,0.922,0.87155575,1,1,0.02,0.02,0.06959152,0
40,40,0.909,0.909,0.909,3,3,0.068,0.068,0.068,0
52,51.806,0.912,0.924,0.8145974,1,1,0.018,0.018,0.06967136,0
37,37,0.822,0.837,0.837,5,5,0.111,0.113,0.113,0
46,44.892,0.868,0.877,0.877,4,4,0.075,0.078,0.078,0
41,41,0.932,0.953,0.9436374,0,0,0,0,0,0
42,42,0.808,0.823,0.8319066,1,1,0.019,0.02,0.02463516,0
42,41.772,0.955,0.954,0.8443933,1,1,0.023,0.023,0.14912547,0
39,39,0.886,0.927,0.84386885,1,1,0.023,0.024,0.07246094,0
41,41,0.891,0.891,0.8258588,1,1,0.022,0.022,0.16287652,0
37,37,0.902,0.925,0.94435966,0,0,0,0,0,0
39,39,0.929,0.951,0.808356,1,1,0.024,0.024,0.15430702,0
38,38,0.809,0.809,0.837083,1,1,0.021,0.021,0.027268684,0
41,41,1,1,1,0,0,0,0,0,0
44,44,0.936,0.946,0.8868599,1,1,0.021,0.022,0.037727334,0
46,46,0.958,0.958,0.8934924,1,1,0.021,0.021,0.0721525,0
36,36,0.973,0.973,0.8181568,1,1,0.027,0.027,0.25208256,0
41,41,0.911,0.929,0.8005851,3,3,0.067,0.068,0.23894988,0
40,40,0.93,0.95,0.8034433,1,1,0.023,0.024,0.07767976,0
43,43,0.977,0.977,0.8328463,1,1,0.023,0.023,0.14816628,0
42,42,0.933,0.933,0.9035858,1,1,0.022,0.022,0.088745385,0
41,39.183,0.932,0.961,0.94627774,0,0,0,0,0,0
42,42,0.977,0.977,0.97337925,0,0,0,0,0,0
39,39,0.867,0.885,0.93156314,2,2,0.044,0.045,0.03772848,0
42,42,0.933,0.933,0.933,2,2,0.044,0.044,0.044,0
37,36.972,0.841,0.85,0.85,5,5,0.114,0.115,0.115,0
41,41,0.837,0.843,0.843,6,6,0.122,0.123,0.123,0
38,38,0.864,0.864,0.864,4,4,0.091,0.091,0.091,0
40,40,0.889,0.889,0.889,2,2,0.044,0.044,0.044,0
43,43,0.935,0.935,0.8356252,1,1,0.022,0.022,0.13896915,0
34,34,0.919,0.919,0.8056759,1,1,0.027,0.027,0.20772001,0
49,49,0.891,0.891,0.891,5,5,0.091,0.091,0.091,0
45,45,0.918,0.918,0.9535649,0,0,0,0,0,0
39,39,0.886,0.886,0.8574197,4,4,0.091,0.091,0.14576386,0
42,41.707,0.875,0.892,0.8709866,2,2,0.042,0.043,0.10196916,0
38,38,0.927,0.956,0.837581,1,1,0.024,0.025,0.1780509,0
37,36.383,0.881,0.901,0.8606447,1,1,0.024,0.025,0.11033075,0
43,43,0.827,0.827,0.827,9,9,0.173,0.173,0.173,0
45,44.176,0.918,0.917,0.8510263,4,4,0.082,0.083,0.18947688,0
45,45,0.9,0.9,0.82602704,2,2,0.04,0.04,0.1306925,0
41,40.205,0.911,0.91,0.91095215,0,0,0,0,0,0
40,40,0.909,0.909,0.8811789,2,2,0.045,0.045,0.11078287,0
37,37,0.841,0.857,0.857,6,6,0.136,0.139,0.139,0
38,37.656,0.864,0.863,0.863,3,3,0.068,0.069,0.069,0
40,40,0.93,0.951,0.824912,1,1,0.023,0.024,0.09666858,0
42,42,0.913,0.913,0.9210376,0,0,0,0,0,0
39,39,0.907,0.927,0.8898611,2,2,0.047,0.048,0.2054105,0
44,43.618,0.846,0.845,0.845,6,6,0.115,0.116,0.116,0
36,36,0.818,0.837,0.8977467,6,5.628,0.136,0.131,0.1546494,0
40,40,0.909,0.909,0.83278924,3,3,0.068,0.068,0.10466451,0
40,40,0.93,0.93,0.95519733,0,0,0,0,0,0
42,42,0.913,0.951,0.9607912,0,0,0,0,0,0
40,40,0.851,0.851,0.8285327,6,6,0.128,0.128,0.15770425,0
35,35,0.921,0.921,0.81090355,1,1,0.026,0.026,0.20150305,0
42,42,0.933,0.965,0.965,2,1.179,0.044,0.027,0.027,0
49,48.195,0.942,0.96,0.8037227,1,1,0.019,0.02,0.24348615,0
46,46,0.979,1,1,0,0,0,0,0,0
37,37,0.841,0.851,0.851,5,5,0.114,0.115,0.115,0
51,50.14,0.962,0.962,0.9759761,0,0,0,0,0,0
44,44,0.863,0.879,0.8746094,3,3,0.059,0.06,0.0791469,0
40,39.371,0.889,0.887,0.82008034,4,4,0.089,0.09,0.1769961,0
52,51.421,0.963,0.979,0.97510546,0,0,0,0,0,0
42,41.212,0.955,0.954,0.85052335,1,1,0.023,0.023,0.10827259,0
41,41,0.932,0.932,0.9332637,1,1,0.023,0.023,0.03802964,0
38,38,0.884,0.884,0.8055879,4,4,0.093,0.093,0.2195967,0
43,42.591,0.935,0.934,0.8752167,1,1,0.022,0.022,0.07095847,0
37,37,0.841,0.841,0.81174505,2,2,0.045,0.045,0.04722023,0
42,42,0.913,0.913,0.9387602,1,1,0.022,0.022,0.017336952,0
42,42,0.875,0.897,0.94047546,2,2,0.042,0.043,0.033081245,0
39,39,0.83,0.861,0.83712184,2,2,0.043,0.044,0.062303457,0
34,34,0.81,0.81,0.8093932,3,3,0.071,0.071,0.086509354,0
44,44,0.898,0.915,0.8928313,2,2,0.041,0.042,0.04905379,0
38,38,0.844,0.844,0.844,5,5,0.111,0.111,0.111,0
44,44,0.957,0.957,0.80079377,1,1,0.022,0.022,0.38900858,0
33,33,0.688,0.695,0.82898533,13,13,0.271,0.274,0.21262354,0
39,39,0.951,0.951,0.94946736,0,0,0,0,0,0
40,40,0.93,0.952,0.94338775,0,0,0,0,0,0
41,40.243,0.976,0.976,0.9719886,0,0,0,0,0,0
46,46,0.885,0.885,0.885,0,0,0,0,0,0
42,42,0.955,0.972,0.97000986,0,0,0,0,0,0
38,38,0.95,0.95,0.8647223,1,1,0.025,0.025,0.062008165,0
47,47,0.87,0.885,0.885,5,5,0.093,0.094,0.094,0
35,35,0.833,0.843,0.8465223,2,2,0.048,0.048,0.059082996,0
36,36,0.878,0.899,0.821676,2,2,0.049,0.05,0.18848549,0
46,45.212,0.958,0.971,0.9784217,0,0,0,0,0,0
39,38.155,0.867,0.902,0.902,4,4,0.089,0.095,0.095,0
48,47.212,0.906,0.904,0.84093374,3,3,0.057,0.057,0.13005476,0
33,32.307,0.917,0.941,0.94109005,0,0,0,0,0,0
41,41,0.932,0.932,0.9441455,0,0,0,0,0,0
41,39.424,0.854,0.867,0.837479,5,5,0.104,0.11,0.16804072,0
42,41.024,0.977,1,1,0,0,0,0,0,0
40,40,0.87,0.922,0.82830423,1,1,0.022,0.023,0.06641838,0
40,40,0.952,0.952,0.92211264,1,1,0.024,0.024,0.053754035,0
40,39.185,0.909,0.913,0.913,2,2,0.045,0.047,0.047,0
42,42,0.977,0.999,0.9985913,0,0,0,0,0,0
43,43,0.935,0.935,0.9252731,0,0,0,0,0,0
43,43,0.811,0.811,0.811,5,5,0.094,0.094,0.094,0
42,42,0.977,0.977,0.98154074,0,0,0,0,0,0
39,39,0.886,0.925,0.8609562,1,1,0.023,0.024,0.13487305,0
42,42,0.933,0.958,0.963377,0,0,0,0,0,0
41,41,0.891,0.891,0.891,3,3,0.065,0.065,0.065,0
49,49,0.98,0.98,0.831926,1,1,0.02,0.02,0.1407908,0
40,40,0.833,0.868,0.86295205,2,2,0.042,0.043,0.060715552,0
42,42,0.84,0.84,0.84,8,8,0.16,0.16,0.16,0
40,40,0.909,0.909,0.93116385,0,0,0,0,0,0
42,41.396,0.875,0.908,0.908,5,4.145,0.104,0.091,0.091,0
51,51,0.944,0.944,0.93429476,2,2,0.037,0.037,0.05642504,0
40,40,0.889,0.902,0.88409275,0,0,0,0,0,0
42,42,0.933,0.933,0.9105422,2,2,0.044,0.044,0.03564561,0
36,36,0.947,0.947,0.80182624,1,1,0.026,0.026,0.19644742,0
44,44,0.978,0.978,0.81787044,1,1,0.022,0.022,0.15298428,0
48,48,0.96,0.96,0.96,1,1,0.02,0.02,0.02,0
39,39,0.907,0.907,0.8063019,2,2,0.047,0.047,0.06512563,0
41,41,0.953,0.953,0.91195506,1,1,0.023,0.023,0.034529567,0
40,40,0.93,0.945,0.80530757,2,2,0.047,0.047,0.15115908,0
38,38,0.95,0.95,0.8226733,1,1,0.025,0.025,0.48177814,0
43,43,0.935,0.948,0.94554615,0,0,0,0,0,0
43,43,0.935,0.955,0.955,1,1,0.022,0.022,0.022,0
45,45,0.865,0.881,0.810825,2,2,0.038,0.039,0.1640387,0
33,33,0.825,0.825,0.825,7,7,0.175,0.175,0.175,0
41,41,0.932,0.932,0.80247283,2,2,0.045,0.045,0.14600092,0
42,41.068,0.913,0.929,0.929,3,3,0.065,0.068,0.068,0
44,44,0.936,0.956,0.83757675,1,1,0.021,0.022,0.044632148,0
39,38.121,0.886,0.894,0.9154184,2,2,0.045,0.047,0.048520394,0
44,44,0.936,0.955,0.81252414,1,1,0.021,0.022,0.08321368,0
39,38.035,0.907,0.949,0.8231493,2,2,0.047,0.05,0.25709975,0
46,46,0.958,0.958,0.8947806,2,2,0.042,0.042,0.08801519,0
40,40,0.87,0.87,0.83902305,5,5,0.109,0.109,0.16630772,0
55,55,0.982,0.982,0.8818013,1,1,0.018,0.018,0.08683038,0
47,46.421,0.887,0.919,0.919,2,2,0.038,0.04,0.04,0
46,45.099,0.958,0.958,0.8041486,1,1,0.021,0.021,0.14577693,0
45,44.123,0.957,0.957,0.9558902,0,0,0,0,0,0
41,41,0.953,0.953,0.9354606,0,0,0,0,0,0
41,41,0.932,0.932,0.82612973,2,2,0.045,0.045,0.07819933,0
49,48.4,0.907,0.906,0.8115541,3,3,0.056,0.056,0.20423736,0
41,41,0.932,0.943,0.9076802,1,1,0.023,0.023,0.094178796,0
42,42,0.955,0.955,0.9162896,1,1,0.023,0.023,0.035374716,0
38,37.54,0.826,0.847,0.8011422,3,3,0.065,0.068,0.07545654,0
39,38.508,0.867,0.885,0.85609627,4,4,0.089,0.092,0.14726564,0
48,48,0.941,0.941,0.8215341,1,1,0.02,0.02,0.31097487,0
43,43,0.935,0.935,0.88965,2,2,0.043,0.043,0.05162422,0
40,40,0.889,0.905,0.8061077,1,1,0.022,0.023,0.16254902,0
41,41,0.932,0.936,0.9330199,0,0,0,0,0,0
41,40.761,0.911,0.911,0.8024964,1,1,0.022,0.022,0.04078293,0
40,40,0.93,0.933,0.8269538,2,2,0.047,0.047,0.07712078,0
37,36.485,0.925,0.924,0.8054426,1,1,0.025,0.025,0.11778854,0
40,40,0.851,0.851,0.9085402,2,2,0.043,0.043,0.036276862,0
39,39,0.929,0.935,0.83370656,1,1,0.024,0.024,0.26482236,0
41,41,0.911,0.911,0.9062419,2,2,0.044,0.044,0.065989584,0
39,39,0.848,0.866,0.8135846,5,5,0.109,0.111,0.12577361,0
41,41,0.976,0.976,0.9391046,1,1,0.024,0.024,0.026315017,0
42,41.531,0.955,0.962,0.8688215,1,1,0.023,0.023,0.07542855,0
46,45.892,0.92,0.947,0.9313248,1,1,0.02,0.021,0.07177169,0
37,37,0.974,0.974,0.80884147,1,1,0.026,0.026,0.19059402,0
43,43,0.977,0.985,0.9874583,0,0,0,0,0,0
41,41,0.911,0.913,0.913,2,2,0.044,0.045,0.045,0
36,36,0.818,0.818,0.818,5,5,0.114,0.114,0.114,0
41,40.972,0.872,0.891,0.891,3,3,0.064,0.065,0.065,0
40,39.402,0.952,0.952,0.95047617,0,0,0,0,0,0
41,41,0.953,0.953,0.8839029,1,1,0.023,0.023,0.092625596,0
36,36,0.818,0.85,0.8086059,1,1,0.023,0.024,0.044765327,0
40,40,0.909,0.942,0.90420204,1,1,0.023,0.024,0.097868994,0
38,37.842,0.927,0.941,0.8339454,1,1,0.024,0.025,0.27448708,0
37,37,0.949,0.973,0.96832645,0,0,0,0,0,0
35,35,0.833,0.852,0.852,3,3,0.071,0.073,0.073,0
46,46,0.939,0.939,0.91961324,1,1,0.02,0.02,0.04356948,0
42,40.732,0.857,0.871,0.8339826,4,4,0.082,0.086,0.13404277,0
43,43,0.956,0.956,0.8752829,2,2,0.044,0.044,0.044124115,0
46,46,0.958,0.958,0.8078348,1,1,0.021,0.021,0.17304945,0
43,43,0.956,0.956,0.956,1,1,0.022,0.022,0.022,0
40,40,0.93,0.952,0.93892115,0,0,0,0,0,0
46,46,0.958,0.958,0.8078348,1,1,0.021,0.021,0.17304945,0
40,40,0.889,0.907,0.88577247,1,1,0.022,0.023,0.09404778,0
38,37.212,0.864,0.88,0.8027995,3,3,0.068,0.071,0.10146657,0
36,35.354,0.818,0.834,0.824081,7,7,0.159,0.165,0.20472565,0
42,41.079,0.955,0.954,0.8165896,2,2,0.045,0.046,0.11999832,0
40,40,0.889,0.905,0.89180243,0,0,0,0,0,0
40,40,0.909,0.944,0.81043005,2,2,0.045,0.047,0.18860541,0
41,41,0.932,0.953,0.9333122,0,0,0,0,0,0
40,40,0.952,0.952,0.96959704,0,0,0,0,0,0
46,46,0.885,0.95,0.85806566,1,1,0.019,0.021,0.060927246,0
34,34,0.723,0.723,0.8181053,3,3,0.064,0.064,0.055293825,0
38,38,0.844,0.863,0.8242598,4,4,0.089,0.091,0.14111191,0
38,38,0.884,0.884,0.9233537,0,0,0,0,0,0
37,37,0.902,0.967,0.94716245,0,0,0,0,0,0
44,44,0.898,0.949,0.92606956,2,2,0.041,0.043,0.049347237,0
42,41.173,0.955,0.954,0.88768035,1,1,0.023,0.023,0.06238356,0
